fig_no,Actual Figure,title,source_short,source_long,first_year,last_year
FIG108,Figure 1.08,Which Country Will Produce More STEM PhDs per Person by 2050?,"NSB, ""International Comparisons of S&E Higher Education,"" Science and Engineering Indicators 2024; authors' projections beyond reported figures.","National Science Board, ""International Comparisons of S&E Higher Education,"" in Higher Education in Science and Engineering, NSB-2023-32, Science and Engineering Indicators 2024 (US National Science Foundation, 2023), 53–62, https://ncses.nsf.gov/pubs/nsb202332/international-comparisons-of-s-e-higher-education#educational-attainment; original data appear on p. 56, and projections beyond the reported figures were generated by the author.",2011,2050
,,,,,,
FIG201,Figure 2.01,Which Countries Account for the Largest Share of International Students at the Bachelor's Level?,"IIE, ""International Students by Academic Level and Place of Origin,"" Open Doors, 2025.","Institute of International Education, ""International Students by Academic Level and Place of Origin, 2001/02–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/all-places-of-origin/.",2001,2025
FIG202,Figure 2.02,Which Countries Account for the Largest Share of International Students at the Master's and Doctorate Levels?,"IIE, ""International Students by Academic Level and Place of Origin,"" Open Doors, 2025.","Institute of International Education, ""International Students by Academic Level and Place of Origin, 2001/02–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/all-places-of-origin/.",2001,2025
FIG203,Figure 2.03,Which STEM Fields Draw the Most International Students?,"IIE, ""Number of International Students by Field of Study,"" Open Doors, 2025.","Institute of International Education, ""Number of International Students by Field of Study, 1998/99–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/fields-of-study/",2001,2025
FIG204,Figure 2.04,Which Countries Send the Most International STEM Students?,"IIE, ""Fields of Study of Students from Selected Places of Origin,"" Open Doors, 2025.","Institute of International Education, ""Fields of Study of Students from Selected Places of Origin, 2009/10–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/fields-of-study-by-place-of-origin/",2010,2025
FIG205,Figure 2.05,How Much Do International Students Contribute to the US Economy?,"US Bureau of Economic Analysis, ""US Trade in Services,"" Table 2.1, line 21; first reported in Baer and Ekin, Fall 2025 Snapshot (IIE, 2025).","US Bureau of Economic Analysis, ""Table 2.1. US Trade in Services, by Type of Service,"" line 21, International Transactions, International Services, and International Investment Position Tables (Washington, DC: BEA, July 3, 2025), https://apps.bea.gov/iTable/; first reported in Julie Baer and Sumeyra Ekin, Fall 2025 Snapshot on International Student Enrollment (Institute of International Education, 2025), https://iie.widen.net/s/xd9xrsft6q/iie_fall-2025-snapshot_full-report.",1999,2025
FIG206,Figure 2.06,How Much Did International Enrollment Change in 2025?,"IIE, Open Doors Fall 2025 Snapshot on International Student Enrollment, 2025.","Institute of International Education, Fall 2025 Snapshot on International Student Enrollment (New York: Institute of International Education, 2025), https://iie.widen.net/s/xd9xrsft6q/iie_fall-2025-snapshot_full-report.",2025,2025
FIG207,Figure 2.07,Where Are American Institutions Focusing Their Recruitment Efforts Abroad?,"IIE, Open Doors Fall International Student Enrollment Snapshots, 2016–2025","Institute of International Education, Fall 2025 Snapshot on International Student Enrollment (New York: Institute of International Education, 2025), https://iie.widen.net/s/xd9xrsft6q/iie_fall-2025-snapshot_full-report.",2025,2025
FIG208,Figure 2.08,What Do Institutions Cite as the Reason for Decreasing International Enrollments?,"IIE, Open Doors Fall 2025 Snapshot on International Student Enrollment, 2025.","Institute of International Education, Fall 2025 Snapshot on International Student Enrollment (New York: Institute of International Education, 2025), https://iie.widen.net/s/xd9xrsft6q/iie_fall-2025-snapshot_full-report.",2025,2025
,,,,,,
FIG301,Figure 3.01,Where Is International Talent in the Education-to-Work Pipeline?,"IIE, ""International Students by Academic Level,"" Open Doors, 2025.","Institute of International Education, ""International Students by Academic Level, 2001/02–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/all-places-of-origin/.",2000,2025
FIG302,Figure 3.02,"How International Are US Postdoctoral Researchers, by Field?","NCSES, Survey of Graduate Students and Postdoctorates in Science and Engineering, 1994–2024.","National Center for Science and Engineering Statistics, Survey of Graduate Students and Postdoctorates in Science and Engineering Data Tables (US National Science Foundation, 1994–2025), data tables compiled by the authors across available survey years, https://ncses.nsf.gov/surveys/graduate-students.",1980,2024
FIG303,Figure 3.03,Who Holds Postdoctoral Positions at Federally Funded Research Centers?,"NCSES, Postdocs at Federally Funded R&D Centers, 2010–2023.","National Center for Science and Engineering Statistics, Postdocs at Federally Funded R&D Centers Data Tables (US National Science Foundation, 2010–2023), data tables compiled by the authors across available survey years, https://ncses.nsf.gov/surveys/ffrdc-postdocs.",2012,2023
FIG304,Figure 3.04,How Does STEM Employment Differ Between U.S.-Born and Foreign-Born Graduates?,"NCSES, National Survey of College Graduates.","National Center for Science and Engineering Statistics, National Survey of College Graduates Data Tables (US National Science Foundation), data tables compiled by the authors across all available survey years, https://ncses.nsf.gov/surveys/national-survey-college-graduates.",2003,2023
FIG305,Figure 3.05,Which Employers Receive the Most H-1B Approvals?,"USCIS, H-1B Employer Data Hub, 2009–2026.","US Citizenship and Immigration Services, H-1B Employer Data Hub (Camp Springs, MD: USCIS, 2009–2026), data downloaded by the authors across all available fiscal years, https://www.uscis.gov/tools/reports-and-studies/h-1b-employer-data-hub.",2017,2025
FIG306,Figure 3.06,Are H-1B Approvals Still Concentrated Among a Few Employers?,"USCIS, H-1B Employer Data Hub, 2009–2026.","US Citizenship and Immigration Services, H-1B Employer Data Hub (Camp Springs, MD: USCIS, 2009–2026), data downloaded by the authors across all available fiscal years, https://www.uscis.gov/tools/reports-and-studies/h-1b-employer-data-hub.",2009,2025
FIG307,Figure 3.07,Who Founded Leading US AI Companies?,"Forbes AI 50, 2019–2025.","Forbes AI 50 lists, 2019–2025, https://www.forbes.com/lists/ai50/, compiled by the author; individual lists by Jillian D'Onfro (2019), Alan Ohnsman (2020, 2021), Helen A. S. Popkin (2022), Konstantine Buhler (2023), Kenrick Cai (2024), and Rashi Shrivastava (2025).",2019,2025
FIG308,Figure 3.08,Where Do Immigrant AI Founders Come From?,"Forbes AI 50, 2019–2025.","Forbes AI 50 lists, 2019–2025, https://www.forbes.com/lists/ai50/, compiled by the author; individual lists by Jillian D'Onfro (2019), Alan Ohnsman (2020, 2021), Helen A. S. Popkin (2022), Konstantine Buhler (2023), Kenrick Cai (2024), and Rashi Shrivastava (2025).",2019,2025
FIG309,Figure 3.09,Which Leading AI Companies Were Founded by Immigrants?,"Forbes AI 50, 2019–2025.","Forbes AI 50 lists, 2019–2025, https://www.forbes.com/lists/ai50/, compiled by the author; individual lists by Jillian D'Onfro (2019), Alan Ohnsman (2020, 2021), Helen A. S. Popkin (2022), Konstantine Buhler (2023), Kenrick Cai (2024), and Rashi Shrivastava (2025).",2019,2025
FIG310,Figure 3.10,Do Leading AI Companies Employ Domestic or Foreign AI Talent?,"OpenAlex (Priem, Piwowar, and Orr).","Jason Priem, Heather Piwowar, and Richard Orr, OpenAlex (OurResearch, 2022–2025), citation statistics by field accessed via the OpenAlex API, with specific fields and year ranges noted accordingly, data compiled by the author, https://openalex.org.",2026,2026
,,,,,,
FIG401,Figure 4.01,How Has US Math Achievement Changed Over Time?,"OECD PISA, NAEP Long-Term Trend, and IEA TIMSS, 1995–2023.","Organisation for Economic Co-operation and Development, PISA 2022 Results (Volume I): The State of Learning and Equity in Education (Paris: OECD Publishing, 2023), Box I.5.1, https://doi.org/10.1787/53f23881-en; National Center for Education Statistics, NAEP Long-Term Trend Assessment: Mathematics, ages 9 and 13 (US Department of Education, Institute of Education Sciences), https://www.nationsreportcard.gov/ltt/mathematics/; International Association for the Evaluation of Educational Achievement, Trends in International Mathematics and Science Study (TIMSS), grades 4 and 8, 1995–2023; data compiled by the authors across available assessment years.",1995,2023
FIG402,Figure 4.02,How Does US Achievement Compare to International Averages?,"OECD, PISA 2022 Results.","OECD, PISA 2022 Results (Paris: OECD Publishing, 2023–2024), vol. I, The State of Learning and Equity in Education (Dec. 5, 2023), https://doi.org/10.1787/53f23881-en; vol. II, Learning During—and From—Disruption (Dec. 5, 2023), https://doi.org/10.1787/a97db61c-en; vol. III, Creative Minds, Creative Schools (June 18, 2024), https://doi.org/10.1787/765ee8c2-en; vol. IV, How Financially Smart Are Students? (June 27, 2024), https://doi.org/10.1787/5a849c2a-en; vol. V, Learning Strategies and Attitudes for Life (Nov. 13, 2024), https://doi.org/10.1787/c2e44201-en; Technical Report (Feb. 29, 2024), https://doi.org/10.1787/01820d6d-en.",2000,2022
FIG403,Figure 4.03,How Do OECD Countries Rank in Math?,"OECD, PISA 2022 Results.","OECD, PISA 2022 Results (Paris: OECD Publishing, 2023–2024), vol. I, The State of Learning and Equity in Education (Dec. 5, 2023), https://doi.org/10.1787/53f23881-en; vol. II, Learning During—and From—Disruption (Dec. 5, 2023), https://doi.org/10.1787/a97db61c-en; vol. III, Creative Minds, Creative Schools (June 18, 2024), https://doi.org/10.1787/765ee8c2-en; vol. IV, How Financially Smart Are Students? (June 27, 2024), https://doi.org/10.1787/5a849c2a-en; vol. V, Learning Strategies and Attitudes for Life (Nov. 13, 2024), https://doi.org/10.1787/c2e44201-en; Technical Report (Feb. 29, 2024), https://doi.org/10.1787/01820d6d-en.",2022,2022
FIG404,Figure 4.04,How Do OECD Countries Rank in Math Proficiency?,"OECD, PISA 2022 Results.","OECD, PISA 2022 Results (Paris: OECD Publishing, 2023–2024), vol. I, The State of Learning and Equity in Education (Dec. 5, 2023), https://doi.org/10.1787/53f23881-en; vol. II, Learning During—and From—Disruption (Dec. 5, 2023), https://doi.org/10.1787/a97db61c-en; vol. III, Creative Minds, Creative Schools (June 18, 2024), https://doi.org/10.1787/765ee8c2-en; vol. IV, How Financially Smart Are Students? (June 27, 2024), https://doi.org/10.1787/5a849c2a-en; vol. V, Learning Strategies and Attitudes for Life (Nov. 13, 2024), https://doi.org/10.1787/c2e44201-en; Technical Report (Feb. 29, 2024), https://doi.org/10.1787/01820d6d-en.",2022,2022
FIG405,Figure 4.05,Does Spending More on Schools Produce Better Results?,"OECD, Education at a Glance 2025; PISA 2022 Database; authors' analysis.","OECD, Education at a Glance 2025—OECD Indicators (Paris: OECD Publishing, 2025), https://doi.org/10.1787/1c0d9c79-en; and OECD, PISA 2022 Database, https://www.oecd.org/pisa/data/. Spending figures extracted via OECD Data Explorer; regression by authors.",2025,2025
FIG406,Figure 4.06,How Lopsided Is US Education Spending?,"OECD, Education at a Glance 2025.","OECD, Education at a Glance 2025: OECD Indicators (Paris: OECD Publishing, 2025), https://doi.org/10.1787/1c0d9c79-en.",2025,2025
FIG407,Figure 4.07,"Do Students Who Leave STEM Leave College, or Just Leave STEM?","NCES, BPS:04/09 and BPS:12/17 (PowerStats).","National Center for Education Statistics, Beginning Postsecondary Students Longitudinal Study (BPS:04/09 and BPS:12/17), data compiled by the authors from NCES PowerStats.",2009,2017
FIG408,Figure 4.08,"Which STEM Fields Keep Their Students, and Which Lose Them?","NCES, BPS:04/09 and BPS:12/17 (PowerStats).","National Center for Education Statistics, Beginning Postsecondary Students Longitudinal Study (BPS:04/09 and BPS:12/17), data compiled by the authors from NCES PowerStats.",2009,2017
FIG409,Figure 4.09,When Do Non-Completers Leave College?,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).","National Center for Education Statistics, Beginning Postsecondary Students Longitudinal Study (BPS:04/09 and BPS:12/17), data compiled by the authors from NCES PowerStats.",2009,2017
FIG410,Figure 4.10,How Many Students Study Abroad From Each Country?,"UNESCO Institute for Statistics, ""Total Outbound Internationally Mobile Tertiary Students,"" UIS.Stat; authors' compilation.","UNESCO Institute for Statistics, ""Total Outbound Internationally Mobile Tertiary Students Studying Abroad, All Countries, Both Sexes (UIS Estimate) (Number),"" UIS.Stat Database, data compiled by the authors by country over time, 2026, https://data.uis.unesco.org/.",2024,2024
FIG411,Figure 4.11,"Which Countries Import Students, and Which Export Them?","UNESCO Institute for Statistics, ""Net Flow of Internationally Mobile Students (Inbound − Outbound),"" UIS.Stat; authors' compilation.","UNESCO Institute for Statistics, ""Net Flow of Internationally Mobile Students (Inbound – Outbound), Both Sexes (UIS Estimate) (Number),"" UIS.Stat Database, data compiled by the authors by country over time, 2026, https://data.uis.unesco.org/.",2024,2024
,,,,,,
FIG501,Figure 5.01,Who Presents at Machine Learning's Most Selective Venue?,"Paper Copilot, conference acceptance and submission statistics; authors' compilation.","Paper Copilot, conference acceptance and submission statistics, data compiled by the authors across all conferences and years, 2026, https://papercopilot.com/.",2013,2025
FIG502,Figure 5.02,Who Produces the Most-Cited Research in Emerging Technologies?,"OpenAlex (Priem, Piwowar, and Orr).","Jason Priem, Heather Piwowar, and Richard Orr, OpenAlex (OurResearch, 2022–2025), citation statistics by field accessed via the OpenAlex API, with specific fields and year ranges noted accordingly, data compiled by the author, https://openalex.org.",2015,2025
FIG503,Figure 5.03,Whose Authors Appear on the World's Top Papers?,"OpenAlex (Priem, Piwowar, and Orr).","Jason Priem, Heather Piwowar, and Richard Orr, OpenAlex (OurResearch, 2022–2025), citation statistics by field accessed via the OpenAlex API, with specific fields and year ranges noted accordingly, data compiled by the author, https://openalex.org.",2015,2025
FIG504,Figure 5.04,Where Do the World's Most-Cited Researchers Work?,"Clarivate, ""Highly Cited Researchers,"" 2014–2025.","Clarivate Analytics, ""Past Lists of Highly Cited Researchers, 2014–2025,"" https://clarivate.com/highly-cited-researchers/past-lists/.",2014,2025
FIG505,Figure 5.05,Who Spends the Most on R&D?,"OECD, Main Science and Technology Indicators (GERD, constant 2020 PPP USD), OECD.Stat, 1991–2024.","Organisation for Economic Co-operation and Development (OECD), Main Science and Technology Indicators (MSTI) Database, OECD Data Explorer, http://data-explorer.oecd.org/; National Science Board, Cross-National Comparisons of R&D Performance, Science and Engineering Indicators 2024 (Alexandria, VA: National Science Foundation, 2024), https://ncses.nsf.gov/pubs/nsb20246/cross-national-comparisons-of-r-d-performance.",1990,2024
FIG506,Figure 5.06,How Intensely Does Each Country Invest in R&D?,"OECD, Main Science and Technology Indicators (GERD, constant 2020 PPP USD), OECD.Stat, 1991–2024.","Aliki Georgakaki et al., The EU Industrial R&D Investment Scoreboard Panel Data, 2003–2024 (European Commission, 2025), https://iri.jrc.ec.europa.eu/scoreboard/2025-eu-industrial-rd-investment-scoreboard#field_data.",1990,2024
FIG507,Figure 5.07,Is R&D Spending Aimed at Today or Tomorrow?,"OECD, Main Science and Technology Indicators (GERD, constant 2020 PPP USD), OECD.Stat, 1991–2024.","Organisation for Economic Co-operation and Development (OECD), Main Science and Technology Indicators (MSTI) Database, OECD Data Explorer, http://data-explorer.oecd.org/; National Science Board, Cross-National Comparisons of R&D Performance, Science and Engineering Indicators 2024 (Alexandria, VA: National Science Foundation, 2024), https://ncses.nsf.gov/pubs/nsb20246/cross-national-comparisons-of-r-d-performance.",1990,2024
FIG508,Figure 5.08,Who Performs R&D in the United States and China?,"OECD, Main Science and Technology Indicators (GERD, constant 2020 PPP USD), OECD.Stat, 1991–2024.","OECD, Main Science and Technology Indicators, gross domestic expenditure on R&D (GERD) by sector of performance, converted to US dollars at constant 2020 purchasing power parity, OECD.Stat, 1991–2024.",1990,2024
,,,,,,
FIG601,Figure 6.01,Do International PhD Recipients Plan to Stay in the United States?,"NCSES, Survey of Earned Doctorates, 2010–2024.","National Center for Science and Engineering Statistics, Survey of Earned Doctorates Data Tables (US National Science Foundation, 2010–2024), data tables compiled by the authors across available survey years, https://ncses.nsf.gov/surveys/earned-doctorates.",2002,2024
FIG602,Figure 6.02,Do International STEM PhDs Stay in the United States?,"NCSES, ""Foreign-Born STEM Workers,"" Science and Engineering Indicators 2024; Finn, Stay Rates of Foreign Doctorate Recipients, 2011.","National Center for Science and Engineering Statistics, ""Foreign-Born STEM Workers,"" in The STEM Labor Force: Scientists, Engineers, and Skilled Technical Workers, Science and Engineering Indicators, NSB-2024-5 (National Science Foundation, 2024), 42–48, https://ncses.nsf.gov/pubs/nsb20245/foreign-born-stem-workers; original data appear on p. 46. Michael G. Finn, Stay Rates of Foreign Doctorate Recipients from US Universities, 2011 (Oak Ridge, TN: Oak Ridge Institute for Science and Education, 2014), https://doi.org/10.2172/1303351.",2001,2023
FIG603,Figure 6.03,How Fast Has STEM OPT Grown?,"USCIS, Form I-765 Application for Employment Authorization, FY2003–2025.","US Citizenship and Immigration Services, Form I-765, Application for Employment Authorization: All Receipts, Approvals, Denials Grouped by Eligibility Category and Filing Type (Camp Springs, MD: USCIS, 2003–2023), drawn from three reports covering FY2003–2021, FY2022, and FY2023, https://www.uscis.gov/sites/default/files/document/data/I-765_Application_for_Employment_FY03-21.pdf, https://web.archive.org/web/20250202082421/https://www.uscis.gov/sites/default/files/document/data/I-765_Application_for_Employment_FY22.pdf, and https://web.archive.org/web/20250211085540/https://www.uscis.gov/sites/default/files/document/data/I-765_Application_for_Employment_FY23.pdf.",2008,2025
FIG604,Figure 6.04,How Many H-1B Visas Are Approved Each Year?,"USCIS, H-1B Employer Data Hub, 2009–2026.","US Citizenship and Immigration Services, H-1B Employer Data Hub (Camp Springs, MD: USCIS, 2009–2026), data downloaded by the authors across all available fiscal years, https://www.uscis.gov/tools/reports-and-studies/h-1b-employer-data-hub.",2009,2025
FIG605,Figure 6.05,When Did H-1B Denials Spike?,"USCIS, H-1B Employer Data Hub, 2009–2026","US Citizenship and Immigration Services, H-1B Employer Data Hub (Camp Springs, MD: USCIS, 2009–2026), data downloaded by the authors across all available fiscal years, https://www.uscis.gov/tools/reports-and-studies/h-1b-employer-data-hub.",2009,2025
FIG606,Figure 6.06,How Far Has China's Share of J-1 Scholars Fallen?,"US Department of State, ""Facts and Figures,"" BridgeUSA, 2024.","US Department of State, ""Facts and Figures 2015–2025,"" BridgeUSA, US Department of State, 2024, data extracted by the author, https://j1visa.state.gov/facts-and-figures-2015-2024/.",2015,2025
FIG607,Figure 6.07,How Much STEM Talent Does the US Train and Then Lose?,"NCSES, ten-year stay rates of US-trained doctorate recipients (2012–14 cohorts); authors' calculation.","NSF National Center for Science and Engineering Statistics, ten-year stay rates of US-trained doctorate recipients (2012–14 cohorts); cost per PhD benchmarked to the NSF Graduate Research Fellowship support rate and the SED median STEM time to degree.",2025,2025
,,,,,,
TAB101,Table 1.01,What is the Field Breakdown of International STEM Degree Production since 1995?,"NCES, IPEDS Completions, 1995–2025.","National Center for Education Statistics, ""Integrated Postsecondary Education Data System (IPEDS) Completions Component"" (US Department of Education, 1995–2025), compiled by the authors using Python from annual IPEDS Completions survey files, https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx?year=-1&surveyNumber=3&sid=bd7f629c-c359-478c-a31c-7a82876497ed&rtid=7.",1995,2025
,,,,,,
TAB201,Table 2.01,Which Regions Do International Students Come From?,"IIE, ""International Student Totals by Place of Origin,"" Open Doors, 2025.","Institute of International Education, ""International Student Totals by Place of Origin, 2000/01–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/all-places-of-origin/.",2000,2025
TAB202,Table 2.02,Which Fields Are Gaining and Which Are Losing as a Share of Each Country's US-Bound Students?,"IIE, ""Fields of Study of Students from Selected Places of Origin,"" Open Doors, 2025.","Institute of International Education, ""Fields of Study of Students from Selected Places of Origin, 2009/10–2024/25,"" Open Doors Report on International Educational Exchange, 2025, https://opendoorsdata.org/data/international-students/fields-of-study-by-place-of-origin/",2010,2025
,,,,,,
TAB301,Table 3.01,What Share of US-Trained STEM Graduates Work in STEM Occupations?,"NCSES, National Survey of College Graduates.","National Center for Science and Engineering Statistics, National Survey of College Graduates Data Tables (US National Science Foundation), data tables compiled by the authors across all available survey years, https://ncses.nsf.gov/surveys/national-survey-college-graduates.",1993,2023
TAB302,Table 3.02,How Concentrated Are Foreign-Born Graduates in STEM Occupations?,"NCSES, National Survey of College Graduates.","National Center for Science and Engineering Statistics, National Survey of College Graduates Data Tables (US National Science Foundation), data tables compiled by the authors across all available survey years, https://ncses.nsf.gov/surveys/national-survey-college-graduates.",2017,2023
TAB303,Table 3.03,How Has the Mix of Top H-1B Employers Changed?,"USCIS, H-1B Employer Data Hub, 2009–2026","US Citizenship and Immigration Services, H-1B Employer Data Hub (Camp Springs, MD: USCIS, 2009–2026), data downloaded by the authors across all available fiscal years, https://www.uscis.gov/tools/reports-and-studies/h-1b-employer-data-hub.",2017,2025
,,,,,,
TAB401,Table 4.01,What Share of STEM Entrants Finish with a STEM Degree?,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).","National Center for Education Statistics, Beginning Postsecondary Students Longitudinal Study (BPS:04/09 and BPS:12/17), data compiled by the authors from NCES PowerStats.",2009,2017
TAB402,Table 4.02,How Often Do US STEM Entrants Change Majors?,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).","National Center for Education Statistics, Beginning Postsecondary Students Longitudinal Study (BPS:04/09 and BPS:12/17), data compiled by the authors from NCES PowerStats.",2005,2024
TAB403,Table 4.03,What Do Americans Study Abroad?,"IIE, ""Percent of US Study Abroad Students by Field of Study,"" Open Doors, 2024.","Institute of International Education, ""Percent of US Study Abroad Students by Field of Study, 2000/01–2022/23,"" Open Doors Report on International Educational Exchange, 2024, https://opendoorsdata.org/data/us-study-abroad/fields-of-study/",2005,2024
TAB404,Table 4.04,Where Do Americans Study Abroad?,"IIE, ""Host Regions of US Study Abroad Students,"" Open Doors, 2024.","Institute of International Education, ""Host Regions of US Study Abroad Students, 2004/05–2022/23,"" Open Doors Report on International Educational Exchange, 2024, https://opendoorsdata.org/data/us-study-abroad/host-regions/",2005,2024
,,,,,,
TAB501,Table 5.01,When Did China Catch Up at Each AI Conference?,"Paper Copilot, conference acceptance and submission statistics; authors' compilation.","Paper Copilot, conference acceptance and submission statistics, data compiled by the authors across all conferences and years, 2026, https://papercopilot.com/.",varies,varies
TAB502,Table 5.02,How Many US Universities Rank in the Global Top 100?,"Times Higher Education, World University Rankings by Subject, 2011–2026.","Times Higher Education, World University Rankings by Subject (Times Higher Education [THE], 2011–2026), data compiled by the authors across subject rankings (Life Sciences, Clinical & Pre-Clinical Health, Engineering, Physical Sciences, and Social Sciences, 2011–2026; Computer Science, 2017–2026), https://www.timeshighereducation.com/world-university-rankings/by-subject.",2014,2026
TAB503,Table 5.03,Is R&D Spending Aimed at Today or Tomorrow?,"OECD, Main Science and Technology Indicators (GERD, PPP), OECD.Stat, 1991–2024.","Organisation for Economic Co-operation and Development (OECD), Main Science and Technology Indicators (MSTI) Database, OECD Data Explorer, http://data-explorer.oecd.org/; National Science Board, Cross-National Comparisons of R&D Performance, Science and Engineering Indicators 2024 (Alexandria, VA: National Science Foundation, 2024), https://ncses.nsf.gov/pubs/nsb20246/cross-national-comparisons-of-r-d-performance.",1994,2024
TAB504,Table 5.04,How Do the US and China Divide R&D Across Sectors?,"OECD, Main Science and Technology Indicators (GERD, PPP), OECD.Stat, 1991–2024.","OECD, Main Science and Technology Indicators, gross domestic expenditure on R&D (GERD) by sector of performance, converted to US dollars at purchasing power parity, OECD.Stat, 1991–2024.",1994,2024
TAB505,Table 5.05,Who Patents in Critical Technologies?,"World Intellectual Property Organization, ""Patents Granted by Technology,"" WIPO IP Statistics Data Center, 2024.","World Intellectual Property Organization, ""Patents Granted by Technology"" (indicator 5), WIPO IP Statistics Data Center, data compiled by the author, 2024, https://www3.wipo.int/ipstats.",2014,2024
TAB506,Table 5.06,"Which Companies Lead in US Patents, and How Has That Shifted?","IPO Association (2005, 2015), Harrity & Harrity ""Patent 300"" (2025), and USPTO PatentsView.","US utility patents granted to each organization; the panel is the union of the top ten recipients in 2005, 2015, and 2025. Figures for 2005 and 2015 are from Intellectual Property Owners Association, ""Top 300 Organizations Granted US Patents in 2005"" and ""Top 300 Organizations Granted US Patents in 2015""; 2025 figures are from Harrity & Harrity, ""Patent 300,"" 2026. Company-years missing from a published list were filled from USPTO PatentsView. Compiled by the author.",2005,2025
,,,,,,
