Chapter,Page,StatID,Section,Measure,Source,EarlierYear,LatestYear,Earlier,Latest,Change,EndpointRule,AuditFlag
Chapter 1,1,stem_share_masters,Growth and composition of STEM training,STEM share of master’s degrees,FIG102 + FIG103,1995,2025,15.8% (1995),23.4% (2025),+7.6 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,stem_share_doctorates,Growth and composition of STEM training,STEM share of doctorates,FIG102 + FIG103,1995,2025,16.5% (1995),18.3% (2025),+1.9 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_students,International enrollment and degree dependence,Students in US higher education,FIG104,1949,2025,"25,464 (1949)","1,177,766 (2025)",46.3×,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_enrollment_share,International enrollment and degree dependence,Share of total US enrollment,FIG104,1949,2025,1.1% (1949),6.1% (2025),+5.0 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_all_bachelors,International enrollment and degree dependence,Share of all bachelor’s degrees,FIG105,1995,2024,3.2% (1995),4.1% (2024),+0.9 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_all_masters,International enrollment and degree dependence,Share of all master’s degrees,FIG105,1995,2024,12.2% (1995),20.5% (2024),+8.3 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_all_doctorates,International enrollment and degree dependence,Share of all doctorates,FIG105,1995,2024,21.2% (1995),33.3% (2024),+12.2 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_stem_bachelors,International enrollment and degree dependence,Share of STEM bachelor’s degrees,FIG106,1995,2025,4.9% (1995),6.3% (2025),+1.4 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_stem_masters,International enrollment and degree dependence,Share of STEM master’s degrees,FIG106,1995,2025,30.0% (1995),51.3% (2025),+21.3 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,intl_stem_doctorates,International enrollment and degree dependence,Share of STEM doctorates,FIG106,1995,2025,26.1% (1995),38.7% (2025),+12.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 1,1,tab101_cs_bachelors,International share in selected STEM fields,Computer science bachelor’s degrees,TAB101,2015,2025,9.3% (2015),8.5% (2025),-0.8 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_engineering_bachelors,International share in selected STEM fields,Engineering bachelor’s degrees,TAB101,2015,2025,7.6% (2015),7.1% (2025),-0.5 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_math_bachelors,International share in selected STEM fields,Mathematics and statistics bachelor’s degrees,TAB101,2015,2025,4.3% (2015),16.8% (2025),+12.5 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_cs_masters,International share in selected STEM fields,Computer science master’s degrees,TAB101,2015,2025,37.5% (2015),64.9% (2025),+27.4 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_engineering_masters,International share in selected STEM fields,Engineering master’s degrees,TAB101,2015,2025,33.9% (2015),49.4% (2025),+15.5 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_math_masters,International share in selected STEM fields,Mathematics and statistics master’s degrees,TAB101,2015,2025,27.6% (2015),54.6% (2025),+27.0 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_cs_doctorates,International share in selected STEM fields,Computer science research doctorates,TAB101,2015,2025,42.1% (2015),54.8% (2025),+12.8 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_engineering_doctorates,International share in selected STEM fields,Engineering research doctorates,TAB101,2015,2025,49.0% (2015),54.7% (2025),+5.7 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,tab101_math_doctorates,International share in selected STEM fields,Mathematics and statistics research doctorates,TAB101,2015,2025,44.8% (2015),52.8% (2025),+8.0 pp,Explicit TAB101 2015 → 2025 columns,
Chapter 1,1,proj_us_total,Global STEM PhD projections,US: annual STEM PhDs,FIG107,2020,2050,"41,701 (2020)","71,737 (2050P)",+72%,Latest observed year → latest projected year,
Chapter 1,2,proj_china_total,Global STEM PhD projections,China: annual STEM PhDs,FIG107,2020,2050,"43,399 (2020)","118,382 (2050P)",+173%,Latest observed year → latest projected year,
Chapter 1,2,proj_india_total,Global STEM PhD projections,India: annual STEM PhDs,FIG107,2020,2050,"16,968 (2020)","143,388 (2050P)",+745%,Latest observed year → latest projected year,
Chapter 1,2,proj_us_percap,Global STEM PhD projections,US: STEM PhDs per million residents,FIG108,2020,2050,61.1 (2020),87.0 (2050P),+42%,Latest observed year → latest projected year,
Chapter 1,2,proj_china_percap,Global STEM PhD projections,China: STEM PhDs per million residents,FIG108,2020,2050,14.3 (2020),50.0 (2050P),+249%,Latest observed year → latest projected year,
Chapter 1,2,proj_india_percap,Global STEM PhD projections,India: STEM PhDs per million residents,FIG108,2020,2050,4.7 (2020),26.0 (2050P),+454%,Latest observed year → latest projected year,
Chapter 2,1,total_international_students,Scale and academic level,International students in US higher education,FIG301,2000,2025,"514,723 (2000)","1,177,766 (2025)",2.3×,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,international_undergraduates,Scale and academic level,International undergraduate students,FIG301,2000,2025,"237,211 (2000)","357,231 (2025)",+51%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,international_graduates,Scale and academic level,International graduate students,FIG301,2000,2025,"218,219 (2000)","488,481 (2025)",+124%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,international_masters,Scale and academic level,International master’s students,FIG301,2000,2025,"110,857 (2000)","306,123 (2025)",+176%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,masters_share,Scale and academic level,Master’s share of international enrollment,FIG301,2000,2025,21.5% (2000),26.0% (2025),+4.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,doctorate_share,Scale and academic level,Doctorate share of international enrollment,FIG301,2000,2025,14.2% (2000),13.0% (2025),-1.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,opt_share,Scale and academic level,OPT share of international enrollment,FIG301,2000,2025,4.8% (2000),25.0% (2025),+20.2 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,asia_count,Geographic concentration,International students from Asia,TAB201,2000,2025,"280,149 (2000)","842,885 (2025)",+201%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,asia_share,Geographic concentration,Asia’s share of international students,TAB201,2000,2025,54.4% (2000),71.6% (2025),+17.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,europe_share,Geographic concentration,Europe’s share of international students,TAB201,2000,2025,17.6% (2000),7.9% (2025),-9.7 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,sub_saharan_africa_share,Geographic concentration,Sub-Saharan Africa’s share of international students,TAB201,2000,2025,5.1% (2000),5.6% (2025),+0.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,china_undergraduate_share,Geographic concentration,CN’s share of international undergraduates,FIG201,2001,2025,3.2% (2001),22.0% (2025),+18.8 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,india_undergraduate_share,Geographic concentration,India’s share of international undergraduates,FIG201,2001,2025,4.7% (2001),11.2% (2025),+6.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,india_graduate_share,Geographic concentration,India’s share of international graduate students,FIG202,2001,2025,16.3% (2001),36.4% (2025),+20.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,china_graduate_share,Geographic concentration,CN’s share of international graduate students,FIG202,2001,2025,19.6% (2001),24.6% (2025),+5.0 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,india_china_graduate_share,Geographic concentration,Combined India-CN share of graduate students,FIG202,2001,2025,35.9% (2001),61.0% (2025),+25.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,south_korea_graduate_share,Geographic concentration,South Korea’s share of international graduate students,FIG202,2001,2025,8.8% (2001),3.0% (2025),-5.8 pp,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,math_cs_students,Concentration by STEM field,International students in math and computer science,FIG203,2001,2025,"67,825 (2001)","305,377 (2025)",+350%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,engineering_students,Concentration by STEM field,International students in engineering,FIG203,2001,2025,"83,396 (2001)","217,016 (2025)",+160%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,india_stem_students,Concentration by STEM field,STEM students from India,FIG204,2010,2025,"72,169 (2010)","260,285 (2025)",+261%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,china_stem_students,Concentration by STEM field,STEM students from CN,FIG204,2010,2025,"55,518 (2010)","138,012 (2025)",+149%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,nepal_stem_students,Concentration by STEM field,STEM students from Nepal,FIG204,2010,2025,"4,639 (2010)","15,606 (2025)",+236%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,south_korea_stem_students,Concentration by STEM field,STEM students from South Korea,FIG204,2010,2025,"18,327 (2010)","16,833 (2025)",-8%,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,economic_contribution,Economic contribution and 2025/26 enrollment,International-student contribution to the US economy,FIG205,1999,2025,$8.9B (1999),$56.0B (2025),6.3×,First nonmissing observation → latest nonmissing observation,
Chapter 2,1,enrollment_total,Economic contribution and 2025/26 enrollment,Total international enrollment,FIG301 + FIG206,2025,2026,"1,177,766 (2025)","1,165,988 (2026P)",-1%,2025 actual count + FIG206 year-over-year change → 2026P,
Chapter 2,1,enrollment_undergraduate,Economic contribution and 2025/26 enrollment,Undergraduate enrollment,FIG301 + FIG206,2025,2026,"357,231 (2025)","364,376 (2026P)",+2%,2025 actual count + FIG206 year-over-year change → 2026P,
Chapter 2,1,enrollment_graduate,Economic contribution and 2025/26 enrollment,Graduate enrollment,FIG301 + FIG206,2025,2026,"488,481 (2025)","429,863 (2026P)",-12%,2025 actual count + FIG206 year-over-year change → 2026P,
Chapter 2,1,enrollment_nondegree,Economic contribution and 2025/26 enrollment,Non-degree enrollment,FIG301 + FIG206,2025,2026,"37,801 (2025)","31,375 (2026P)",-17%,2025 actual count + FIG206 year-over-year change → 2026P,
Chapter 2,1,enrollment_opt,Economic contribution and 2025/26 enrollment,OPT participation,FIG301 + FIG206,2025,2026,"294,253 (2025)","335,448 (2026P)",+14%,2025 actual count + FIG206 year-over-year change → 2026P,
Chapter 2,1,top_recruitment_target_undergrad,Recruitment and barriers,Top undergraduate recruitment target,2015 recruitment-priorities chart + FIG207,2015,2025,CN: 65.8% (2015),Vietnam: 55.0% (2025),CN → Vietnam,2015 historical recruitment baseline → 2025 FIG207 priority,
Chapter 2,2,top_recruitment_target_grad,Recruitment and barriers,Top graduate recruitment target,2015 recruitment-priorities chart + FIG207,2015,2025,CN: 65.8% (2015),India: 57.0% (2025),CN → India,2015 historical recruitment baseline → 2025 FIG207 priority,
Chapter 2,2,visa_application_process,Recruitment and barriers,Institutions citing the visa application process,FIG208,2018,2025,83.0% (Fall 2018),96.0% (Fall 2025),+13.0 pp,Earliest available survey observation → Fall 2025,
Chapter 2,2,travel_restrictions,Recruitment and barriers,Institutions citing US travel restrictions,FIG208,2021,2025,54.0% (Fall 2021),68.0% (Fall 2025),+14.0 pp,Earliest available survey observation → Fall 2025,
Chapter 2,2,feeling_unwelcome,Recruitment and barriers,Institutions citing students feeling unwelcome,FIG208,2018,2025,49.0% (Fall 2018),67.0% (Fall 2025),+18.0 pp,Earliest available survey observation → Fall 2025,
Chapter 2,2,social_political_environment,Recruitment and barriers,Institutions citing the US social and political environment,FIG208,2018,2025,60.0% (Fall 2018),64.0% (Fall 2025),+4.0 pp,Earliest available survey observation → Fall 2025,
Chapter 3,1,pipeline_bachelors,International talent pipeline,Bachelor’s students,FIG301,2000,2025,"177,381 (2000)","300,944 (2025)",+70%,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,pipeline_masters,International talent pipeline,Master’s students,FIG301,2000,2025,"110,857 (2000)","306,123 (2025)",+176%,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,pipeline_doctorate,International talent pipeline,Doctorate students,FIG301,2000,2025,"72,928 (2000)","153,418 (2025)",+110%,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,pipeline_opt,International talent pipeline,OPT participants,FIG301,2000,2025,"24,857 (2000)","294,253 (2025)",+1 084%,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,postdoc_science,International talent in research,Science postdocs,FIG302,1980,2024,36.3% (1980),57.3% (2024),+21.0 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,postdoc_engineering,International talent in research,Engineering postdocs,FIG302,1980,2024,69.1% (1980),68.0% (2024),-1.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,postdoc_health,International talent in research,Health postdocs,FIG302,1980,2024,25.0% (1980),55.7% (2024),+30.7 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,ffrdc_temp_visa,International talent in research,Temporary-visa postdocs at FFRDCs,FIG303,2012,2023,"1,637 (2012)","2,010 (2023)",+23%,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,ffrdc_domestic,International talent in research,US citizens/permanent residents at FFRDCs,FIG303,2012,2023,"1,156 (2012)","1,619 (2023)",+40%,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,work_all_bachelors,From degree to STEM work,Bachelor’s degree holders employed in STEM,TAB301,1993,2023,46.6% (1993),44.0% (2023),-2.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,work_all_masters,From degree to STEM work,Master’s degree holders employed in STEM,TAB301,1993,2023,60.6% (1993),59.3% (2023),-1.3 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,work_all_doctorates,From degree to STEM work,Doctorate holders employed in STEM,TAB301,1993,2023,72.1% (1993),68.4% (2023),-3.7 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,work_us_doctorate,From degree to STEM work,US-born doctorate holders employed in STEM,FIG304a,2003,2023,52.3% (2003),56.7% (2023),+4.4 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,work_foreign_doctorate,From degree to STEM work,Foreign-born doctorate holders employed in STEM,FIG304b,2003,2023,70.4% (2003),75.9% (2023),+5.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,visa_computer_math,Temporary-visa concentration by occupation,Computer and mathematical scientists,TAB302,2017,2023,16.6% (2017),13.7% (2023),-2.9 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,visa_engineers,Temporary-visa concentration by occupation,Engineers,TAB302,2017,2023,11.2% (2017),8.9% (2023),-2.2 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,visa_biological,Temporary-visa concentration by occupation,Biological and life scientists,TAB302,2017,2023,17.2% (2017),13.7% (2023),-3.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,visa_physical,Temporary-visa concentration by occupation,Physical scientists,TAB302,2017,2023,11.3% (2017),9.4% (2023),-1.9 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,visa_social,Temporary-visa concentration by occupation,Social scientists,TAB302,2017,2023,4.8% (2017),6.8% (2023),+2.0 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,h1b_top10,H-1B employer concentration,Top 10 employers’ share of approvals,FIG305 / Table 3.03,2009,2025,55.2% (2009),51.5% (2025),-3.8 pp,2017 → 2025,
Chapter 3,1,h1b_google,H-1B employer concentration,Google,FIG305 / Table 3.03,2017,2025,2.2% (2017),8.3% (2025),+6.2 pp,2017 → 2025,
Chapter 3,1,h1b_cognizant,H-1B employer concentration,Cognizant,FIG305 / Table 3.03,2017,2025,22.1% (2017),6.0% (2025),-16.1 pp,2017 → 2025,
Chapter 3,1,h1b_tata_consultancy_services,H-1B employer concentration,Tata Consultancy Services,FIG305 / Table 3.03,2017,2025,11.2% (2017),9.3% (2025),-1.9 pp,2017 → 2025,
Chapter 3,1,h1b_infosys,H-1B employer concentration,Infosys,FIG305 / Table 3.03,2017,2025,10.7% (2017),4.4% (2025),-6.4 pp,2017 → 2025,
Chapter 3,1,h1b_deloitte,H-1B employer concentration,Deloitte,FIG305 / Table 3.03,2017,2025,3.0% (2017),6.0% (2025),+3.0 pp,2017 → 2025,
Chapter 3,1,ai_all_foreign,Immigrant founders and AI,All-foreign-born founder teams,FIG307,2019,2025,40.0% (2019),20.9% (2025),-19.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,ai_some_foreign,Immigrant founders and AI,Some foreign-born founders,FIG307,2019,2025,36.0% (2019),44.2% (2025),+8.2 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,ai_all_us,Immigrant founders and AI,All-US-born founder teams,FIG307,2019,2025,24.0% (2019),34.9% (2025),+10.9 pp,First nonmissing observation → latest nonmissing observation,
Chapter 3,1,founder_origin_india,Immigrant founders and AI,India,FIG308,NA,NA,—,76 founders,—,2025 founder-origin snapshot,CHECK: latest cell has no year
Chapter 3,1,founder_origin_china,Immigrant founders and AI,China,FIG308,NA,NA,—,36 founders,—,2025 founder-origin snapshot,CHECK: latest cell has no year
Chapter 3,2,ai_staffing_anthropic,Where leading AI companies staff research,Anthropic,FIG310,NA,NA,59%,4%,37%,Snapshot composition: US / China / rest of world; not a time comparison,
Chapter 3,2,ai_staffing_alphabet,Where leading AI companies staff research,Alphabet,FIG310,NA,NA,46%,17%,37%,Snapshot composition: US / China / rest of world; not a time comparison,
Chapter 3,2,ai_staffing_openai,Where leading AI companies staff research,OpenAI,FIG310,NA,NA,50%,19%,31%,Snapshot composition: US / China / rest of world; not a time comparison,
Chapter 3,2,ai_staffing_alibaba,Where leading AI companies staff research,Alibaba,FIG310,NA,NA,12%,83%,5%,Snapshot composition: US / China / rest of world; not a time comparison,
Chapter 3,2,ai_staffing_deepseek,Where leading AI companies staff research,DeepSeek,FIG310,NA,NA,7%,85%,9%,Snapshot composition: US / China / rest of world; not a time comparison,
Chapter 3,2,ai_staffing_moonshot,Where leading AI companies staff research,Moonshot,FIG310,NA,NA,7%,84%,10%,Snapshot composition: US / China / rest of world; not a time comparison,
Chapter 4,1,us_math_gap,US educational performance,PISA math score relative to OECD average,FIG401,2000,2022,+1.0 (2000),-7.0 (2022),-8.0 points,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,us_science_gap,US educational performance,PISA science score relative to OECD average,FIG401,2000,2022,+6.0 (2000),+14.0 (2022),+8.0 points,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,us_reading_gap,US educational performance,PISA reading score relative to OECD average,FIG401,2000,2022,+11.0 (2000),+28.0 (2022),+17.0 points,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,pisa_us_vs_japan,US educational performance,2022 PISA math score: US vs Japan,FIG402,NA,NA,Japan: 536,US: 465,-71 points,2022 PISA benchmark comparison; not a time comparison,
Chapter 4,1,pisa_top_math_us_vs_oecd,US educational performance,Students at PISA math Levels 5–6: US vs OECD,FIG403,NA,NA,OECD: 8.7%,US: 7.3%,-1.4 pp,2022 PISA benchmark comparison; not a time comparison,
Chapter 4,1,spending_k12_us_vs_oecd,Education spending,K–12 spending per student: US vs OECD,FIG405,NA,NA,"OECD: $13,527","US: $15,799",+16.8%,OECD spending benchmark comparison; not a time comparison,
Chapter 4,1,spending_tertiary_us_vs_oecd,Education spending,Tertiary spending per student: US vs OECD,FIG405,NA,NA,"OECD: $21,444","US: $36,274",+69.2%,OECD spending benchmark comparison; not a time comparison,
Chapter 4,1,spending_ratio_us_vs_oecd,Education spending,Tertiary-to-K–12 spending ratio: US vs OECD,FIG405,NA,NA,OECD: 1.6×,US: 2.3×,+0.7×,OECD spending benchmark comparison; not a time comparison,
Chapter 4,1,retain_computing,STEM persistence and attrition,Computer & information sciences: graduated in entry field,FIG407,2003,2011,49.3% (2003/04),66.7% (2011/12),+17.4 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,retain_engineering,STEM persistence and attrition,Engineering: graduated in entry field,FIG407,2003,2011,62.5% (2003/04),66.5% (2011/12),+4.0 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,retain_broad_science,STEM persistence and attrition,"Bio/physical sciences, math & ag: graduated in entry field",FIG407,2003,2011,55.3% (2003/04),47.5% (2011/12),-7.8 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,exit_year1,STEM persistence and attrition,STEM entrants leaving without return in first year,FIG408,2001,2017,7.7% (1996/2001),3.1% (2012/2017),-4.6 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,exit_first_two_years,STEM persistence and attrition,STEM entrants leaving without return in first two years,FIG408,2001,2017,12.0% (1996/2001),6.4% (2012/2017),-5.6 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,completion_stem_bachelors,STEM completion outcomes,Completed bachelor’s degree in STEM field,TAB401,2003,2011,41.1% (2003/04),41.9% (2011/12),+0.8 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,completion_nonstem_bachelors,STEM completion outcomes,Completed bachelor’s degree in non-STEM field,TAB401,2003,2011,23.3% (2003/04),25.8% (2011/12),+2.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,completion_subbac,STEM completion outcomes,Completed sub-baccalaureate credential,TAB401,2003,2011,3.0% (2003/04),4.1% (2011/12),+1.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,completion_still_enrolled,STEM completion outcomes,Still enrolled,TAB401,2003,2011,12.3% (2003/04),11.2% (2011/12),-1.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,completion_left_no_degree,STEM completion outcomes,Left with no degree,TAB401,2003,2011,20.3% (2003/04),16.9% (2011/12),-3.4 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,switch_never,Major switching,STEM entrants who never switched majors,TAB402,2009,2017,62.3% (2004/2009 Survey),41.8% (2012/2017 Survey),-20.5 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,switch_once,Major switching,STEM entrants who switched once,TAB402,2009,2017,32.1% (2004/2009 Survey),32.2% (2012/2017 Survey),+0.1 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,switch_multiple,Major switching,STEM entrants who switched 2+ times,TAB402,2009,2017,5.7% (2004/2009 Survey),25.9% (2012/2017 Survey),+20.2 pp,First nonmissing observation → latest nonmissing observation,
Chapter 4,1,study_field_stem,What Americans study abroad,STEM,TAB403,2005,2024,16.3% (2005),27.2% (2024),+10.9 pp,Explicit Table 4.03 comparison: 2005 → 2024,
Chapter 4,1,study_field_business,What Americans study abroad,Business and management,TAB403,2005,2024,17.5% (2005),21.7% (2024),+4.2 pp,Explicit Table 4.03 comparison: 2005 → 2024,
Chapter 4,1,study_field_social,What Americans study abroad,Social sciences,TAB403,2005,2024,22.6% (2005),17.8% (2024),-4.8 pp,Explicit Table 4.03 comparison: 2005 → 2024,
Chapter 4,1,study_field_arts,What Americans study abroad,Fine and applied arts,TAB403,2005,2024,7.6% (2005),7.3% (2024),-0.3 pp,Explicit Table 4.03 comparison: 2005 → 2024,
Chapter 4,1,study_field_humanities,What Americans study abroad,Humanities,TAB403,2005,2024,13.3% (2005),3.0% (2024),-10.3 pp,Explicit Table 4.03 comparison: 2005 → 2024,
Chapter 4,1,study_region_europe,Where Americans study abroad,Europe,TAB404,2005,2024,60.3% (2005),64.1% (2024),+3.8 pp,Explicit Table 4.04 comparison: 2005 → 2024,
Chapter 4,1,study_region_asia,Where Americans study abroad,Asia,TAB404,2005,2024,8.0% (2005),10.2% (2024),+2.2 pp,Explicit Table 4.04 comparison: 2005 → 2024,
Chapter 4,1,study_region_latin,Where Americans study abroad,Latin America and Caribbean,TAB404,2005,2024,14.4% (2005),10.6% (2024),-3.8 pp,Explicit Table 4.04 comparison: 2005 → 2024,
Chapter 4,1,study_region_oceania,Where Americans study abroad,Oceania,TAB404,2005,2024,6.7% (2005),3.3% (2024),-3.4 pp,Explicit Table 4.04 comparison: 2005 → 2024,
Chapter 4,2,outbound_us,International student mobility,United States: tertiary students studying abroad,FIG409,NA,2023,—,0.7% (2023),—,Latest available outbound-mobility snapshot,
Chapter 4,2,outbound_china,International student mobility,China: tertiary students studying abroad,FIG409,NA,2023,—,1.8% (2023),—,Latest available outbound-mobility snapshot,
Chapter 4,2,outbound_india,International student mobility,India: tertiary students studying abroad,FIG409,NA,2023,—,1.9% (2023),—,Latest available outbound-mobility snapshot,
Chapter 4,2,netflow_us,International student mobility,United States: net international-student flow,FIG410,2005,2023,0.53M (2005),0.84M (2023),+0.31M,First nonmissing observation → latest nonmissing observation,
Chapter 4,2,netflow_china,International student mobility,China: net international-student flow,FIG410,2006,2023,-0.34M (2006),-0.88M (2023),-0.54M,First nonmissing observation → latest nonmissing observation,
Chapter 4,2,netflow_india,International student mobility,India: net international-student flow,FIG410,2000,2023,-0.06M (2000),-0.79M (2023),-0.73M,First nonmissing observation → latest nonmissing observation,
