Country,Year,Status,Count,Share of Total (Of Same Status)
China,2016,Certified-Expired,4889,8.55%
China,2017,Certified-Expired,3970,8.72%
China,2018,Certified-Expired,4026,10.78%
China,2019,Certified-Expired,4133,10.82%
China,2020,Certified-Expired,4217,13.04%
China,2021,Certified-Expired,3986,12.05%
China,2022,Certified-Expired,5982,11.07%
China,2023,Certified-Expired,5200,10.49%
China,2024,Certified-Expired,5346,10.52%
South Korea,2008,Certified-Expired,1856,6.60%
South Korea,2009,Certified-Expired,854,6.34%
South Korea,2010,Certified-Expired,2688,7.15%
South Korea,2011,Certified-Expired,2275,5.53%
South Korea,2012,Certified-Expired,2639,4.84%
South Korea,2013,Certified-Expired,919,4.28%
South Korea,2014,Certified-Expired,1111,4.11%
South Korea,2015,Certified-Expired,1621,4.30%
South Korea,2016,Certified-Expired,4562,7.98%
South Korea,2017,Certified-Expired,3024,6.64%
South Korea,2018,Certified-Expired,2059,5.51%
South Korea,2019,Certified-Expired,1406,3.68%
South Korea,2020,Certified-Expired,1000,3.09%
South Korea,2021,Certified-Expired,1155,3.49%
South Korea,2022,Certified-Expired,1309,2.42%
South Korea,2023,Certified-Expired,1131,2.28%
South Korea,2024,Certified-Expired,1117,2.20%
Mexico,2008,Certified-Expired,1698,6.04%
Mexico,2009,Certified-Expired,374,2.78%
Mexico,2010,Certified-Expired,1778,4.73%
Mexico,2011,Certified-Expired,1611,3.92%
Mexico,2012,Certified-Expired,1210,2.22%
Mexico,2013,Certified-Expired,466,2.17%
Mexico,2014,Certified-Expired,629,2.33%
Mexico,2015,Certified-Expired,681,1.81%
Mexico,2016,Certified-Expired,1118,1.96%
Mexico,2017,Certified-Expired,1013,2.22%
Mexico,2018,Certified-Expired,1068,2.86%
Mexico,2019,Certified-Expired,1359,3.56%
Mexico,2020,Certified-Expired,1226,3.79%
Mexico,2021,Certified-Expired,1515,4.58%
Mexico,2022,Certified-Expired,1935,3.58%
Mexico,2023,Certified-Expired,1689,3.41%
Mexico,2024,Certified-Expired,2312,4.55%
India,2008,Certified,7198,34.13%
India,2009,Certified,6403,39.92%
India,2010,Certified,14872,45.54%
India,2011,Certified,10527,56.25%
India,2012,Certified,1,50.00%
India,2013,Certified,8372,60.92%
India,2014,Certified,20114,56.48%
India,2015,Certified,22713,55.10%
India,2016,Certified,33610,57.21%
India,2017,Certified,23032,54.74%
India,2018,Certified,38081,52.75%
India,2019,Certified,29286,52.62%
India,2020,Certified,27859,51.87%
India,2021,Certified,36414,53.96%
India,2022,Certified,22967,56.76%
India,2023,Certified,26639,50.53%
India,2024,Certified,16173,45.55%
China,2008,Certified,1210,5.74%
China,2009,Certified,1090,6.80%
China,2010,Certified,1778,5.44%
China,2011,Certified,1029,5.50%
China,2012,Certified,,
China,2013,Certified,779,5.67%
China,2014,Certified,2691,7.56%
China,2015,Certified,3583,8.69%
China,2016,Certified,5043,8.58%
China,2017,Certified,3916,9.31%
China,2018,Certified,7899,10.94%
China,2019,Certified,6373,11.45%
China,2020,Certified,7021,13.07%
China,2021,Certified,8202,12.15%
China,2022,Certified,4039,9.98%
China,2023,Certified,6750,12.80%
China,2024,Certified,2813,7.92%
South Korea,2008,Certified,1263,5.99%
South Korea,2009,Certified,1024,6.38%
South Korea,2010,Certified,1922,5.89%
South Korea,2011,Certified,872,4.66%
South Korea,2012,Certified,,
South Korea,2013,Certified,487,3.54%
South Korea,2014,Certified,1561,4.38%
South Korea,2015,Certified,3274,7.94%
South Korea,2016,Certified,3787,6.45%
South Korea,2017,Certified,2349,5.58%
South Korea,2018,Certified,2737,3.79%
South Korea,2019,Certified,1708,3.07%
South Korea,2020,Certified,1544,2.87%
South Korea,2021,Certified,1741,2.58%
South Korea,2022,Certified,945,2.34%
South Korea,2023,Certified,1022,1.94%
South Korea,2024,Certified,950,2.68%
Mexico,2008,Certified,1746,8.28%
Mexico,2009,Certified,401,2.50%
Mexico,2010,Certified,1528,4.68%
Mexico,2011,Certified,458,2.45%
Mexico,2012,Certified,,
Mexico,2013,Certified,252,1.83%
Mexico,2014,Certified,666,1.87%
Mexico,2015,Certified,799,1.94%
Mexico,2016,Certified,1031,1.75%
Mexico,2017,Certified,1018,2.42%
Mexico,2018,Certified,2501,3.46%
Mexico,2019,Certified,1858,3.34%
Mexico,2020,Certified,1849,3.44%
Mexico,2021,Certified,3045,4.51%
Mexico,2022,Certified,1779,4.40%
Mexico,2023,Certified,2163,4.10%
Mexico,2024,Certified,1389,3.91%
