Year,Field,Degree,NonresidentShare
2000,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,52.459
2001,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,67.016
2002,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,58.857
2003,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,52.417
2004,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,52.793
2005,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,53.163
2006,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,49.376
2007,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,55.013
2008,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,53.687
2009,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,52.026
2010,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,47.741
2011,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,51.59
2012,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,53.61
2013,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,49.694
2014,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,50.79
2015,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,48.35
2016,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,50.943
2017,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,52.314
2018,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,51.58
2019,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,50.837
2020,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,12.899
2021,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,10.497
2022,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,11.206
2023,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,9.891
2024,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Doctorate,9.933
1995,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,33.686
1996,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,34.154
1997,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,36.606
1998,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,31.27
1999,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,33.854
2000,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,30.755
2001,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,30.325
2002,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,31.72
2003,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,20.798
2004,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,25.175
2005,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,24.181
2006,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,21.999
2007,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,21.577
2008,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.449
2009,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,21.113
2010,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,21.361
2011,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.483
2012,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,21.571
2013,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.341
2014,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.1
2015,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.694
2016,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.338
2017,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,23.84
2018,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.658
2019,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,21.805
2020,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,22.141
2021,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,18.994
2022,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,17.703
2023,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,16.824
2024,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Masters,21.271
1995,Architecture and Related Services,Bachelors,5.056
1996,Architecture and Related Services,Bachelors,5.096
1997,Architecture and Related Services,Bachelors,6.406
1998,Architecture and Related Services,Bachelors,7.025
1999,Architecture and Related Services,Bachelors,6.486
2000,Architecture and Related Services,Bachelors,6.333
2001,Architecture and Related Services,Bachelors,6.935
2002,Architecture and Related Services,Bachelors,5.817
2003,Architecture and Related Services,Bachelors,5.589
2004,Architecture and Related Services,Bachelors,4.836
2005,Architecture and Related Services,Bachelors,4.992
2006,Architecture and Related Services,Bachelors,4.215
2007,Architecture and Related Services,Bachelors,4.224
2008,Architecture and Related Services,Bachelors,4.221
2009,Architecture and Related Services,Bachelors,4.059
2010,Architecture and Related Services,Bachelors,4.156
2011,Architecture and Related Services,Bachelors,4.54
2012,Architecture and Related Services,Bachelors,5.799
2013,Architecture and Related Services,Bachelors,6.629
2014,Architecture and Related Services,Bachelors,7.227
2015,Architecture and Related Services,Bachelors,8.552
2016,Architecture and Related Services,Bachelors,10.579
2017,Architecture and Related Services,Bachelors,12.49
2018,Architecture and Related Services,Bachelors,13.643
2019,Architecture and Related Services,Bachelors,13.933
2020,Architecture and Related Services,Bachelors,12.597
2021,Architecture and Related Services,Bachelors,10.69
2022,Architecture and Related Services,Bachelors,10.548
2023,Architecture and Related Services,Bachelors,8.561
2024,Architecture and Related Services,Bachelors,8.103
1995,Architecture and Related Services,Doctorate,39.716
1996,Architecture and Related Services,Doctorate,44.681
1997,Architecture and Related Services,Doctorate,34.074
1998,Architecture and Related Services,Doctorate,41.221
1999,Architecture and Related Services,Doctorate,40.336
2000,Architecture and Related Services,Doctorate,35.659
2001,Architecture and Related Services,Doctorate,34.641
2002,Architecture and Related Services,Doctorate,46.448
2003,Architecture and Related Services,Doctorate,51.974
2004,Architecture and Related Services,Doctorate,46.821
2005,Architecture and Related Services,Doctorate,44.134
2006,Architecture and Related Services,Doctorate,57.214
2007,Architecture and Related Services,Doctorate,50.562
2008,Architecture and Related Services,Doctorate,46.231
2009,Architecture and Related Services,Doctorate,41.509
2010,Architecture and Related Services,Doctorate,41.429
2011,Architecture and Related Services,Doctorate,36.585
2012,Architecture and Related Services,Doctorate,41.176
2013,Architecture and Related Services,Doctorate,36.437
2014,Architecture and Related Services,Doctorate,45.344
2015,Architecture and Related Services,Doctorate,41.176
2016,Architecture and Related Services,Doctorate,38.367
2017,Architecture and Related Services,Doctorate,41.237
2018,Architecture and Related Services,Doctorate,42.8
2019,Architecture and Related Services,Doctorate,43.529
2020,Architecture and Related Services,Doctorate,47.222
2021,Architecture and Related Services,Doctorate,50.98
2022,Architecture and Related Services,Doctorate,51.587
2023,Architecture and Related Services,Doctorate,54.508
2024,Architecture and Related Services,Doctorate,49.6
1995,Architecture and Related Services,Masters,18.085
1996,Architecture and Related Services,Masters,18.476
1997,Architecture and Related Services,Masters,19.382
1998,Architecture and Related Services,Masters,20.146
1999,Architecture and Related Services,Masters,20.927
2000,Architecture and Related Services,Masters,22.858
2001,Architecture and Related Services,Masters,24.104
2002,Architecture and Related Services,Masters,24.063
2003,Architecture and Related Services,Masters,22.894
2004,Architecture and Related Services,Masters,22.819
2005,Architecture and Related Services,Masters,18.961
2006,Architecture and Related Services,Masters,17.169
2007,Architecture and Related Services,Masters,15.756
2008,Architecture and Related Services,Masters,15.592
2009,Architecture and Related Services,Masters,15.234
2010,Architecture and Related Services,Masters,15.41
2011,Architecture and Related Services,Masters,15.818
2012,Architecture and Related Services,Masters,15.89
2013,Architecture and Related Services,Masters,18.019
2014,Architecture and Related Services,Masters,22.887
2015,Architecture and Related Services,Masters,25.505
2016,Architecture and Related Services,Masters,29.406
2017,Architecture and Related Services,Masters,32.577
2018,Architecture and Related Services,Masters,33.442
2019,Architecture and Related Services,Masters,32.804
2020,Architecture and Related Services,Masters,32.07
2021,Architecture and Related Services,Masters,27.324
2022,Architecture and Related Services,Masters,28.791
2023,Architecture and Related Services,Masters,29.555
2024,Architecture and Related Services,Masters,29.008
1995,Biological and Biomedical Sciences,Bachelors,2.254
1996,Biological and Biomedical Sciences,Bachelors,2.201
1997,Biological and Biomedical Sciences,Bachelors,2.244
1998,Biological and Biomedical Sciences,Bachelors,2.12
1999,Biological and Biomedical Sciences,Bachelors,2.15
2000,Biological and Biomedical Sciences,Bachelors,2.122
2001,Biological and Biomedical Sciences,Bachelors,2.313
2002,Biological and Biomedical Sciences,Bachelors,2.361
2003,Biological and Biomedical Sciences,Bachelors,2.417
2004,Biological and Biomedical Sciences,Bachelors,2.55
2005,Biological and Biomedical Sciences,Bachelors,2.927
2006,Biological and Biomedical Sciences,Bachelors,2.903
2007,Biological and Biomedical Sciences,Bachelors,2.933
2008,Biological and Biomedical Sciences,Bachelors,2.801
2009,Biological and Biomedical Sciences,Bachelors,2.857
2010,Biological and Biomedical Sciences,Bachelors,2.851
2011,Biological and Biomedical Sciences,Bachelors,2.986
2012,Biological and Biomedical Sciences,Bachelors,2.868
2013,Biological and Biomedical Sciences,Bachelors,2.882
2014,Biological and Biomedical Sciences,Bachelors,2.64
2015,Biological and Biomedical Sciences,Bachelors,2.597
2016,Biological and Biomedical Sciences,Bachelors,2.811
2017,Biological and Biomedical Sciences,Bachelors,2.95
2018,Biological and Biomedical Sciences,Bachelors,3.156
2019,Biological and Biomedical Sciences,Bachelors,3.31
2020,Biological and Biomedical Sciences,Bachelors,3.371
2021,Biological and Biomedical Sciences,Bachelors,3.286
2022,Biological and Biomedical Sciences,Bachelors,3.289
2023,Biological and Biomedical Sciences,Bachelors,3.223
2024,Biological and Biomedical Sciences,Bachelors,3.11
1995,Biological and Biomedical Sciences,Doctorate,25.027
1996,Biological and Biomedical Sciences,Doctorate,26.828
1997,Biological and Biomedical Sciences,Doctorate,27.667
1998,Biological and Biomedical Sciences,Doctorate,27.154
1999,Biological and Biomedical Sciences,Doctorate,26.409
2000,Biological and Biomedical Sciences,Doctorate,25.656
2001,Biological and Biomedical Sciences,Doctorate,24.843
2002,Biological and Biomedical Sciences,Doctorate,25.358
2003,Biological and Biomedical Sciences,Doctorate,25.253
2004,Biological and Biomedical Sciences,Doctorate,25.232
2005,Biological and Biomedical Sciences,Doctorate,27.059
2006,Biological and Biomedical Sciences,Doctorate,28.817
2007,Biological and Biomedical Sciences,Doctorate,30.419
2008,Biological and Biomedical Sciences,Doctorate,30.622
2009,Biological and Biomedical Sciences,Doctorate,28.937
2010,Biological and Biomedical Sciences,Doctorate,28.07
2011,Biological and Biomedical Sciences,Doctorate,27.146
2012,Biological and Biomedical Sciences,Doctorate,26.955
2013,Biological and Biomedical Sciences,Doctorate,26.993
2014,Biological and Biomedical Sciences,Doctorate,27.294
2015,Biological and Biomedical Sciences,Doctorate,27.421
2016,Biological and Biomedical Sciences,Doctorate,26.469
2017,Biological and Biomedical Sciences,Doctorate,25.565
2018,Biological and Biomedical Sciences,Doctorate,25.051
2019,Biological and Biomedical Sciences,Doctorate,24.525
2020,Biological and Biomedical Sciences,Doctorate,25.548
2021,Biological and Biomedical Sciences,Doctorate,24.345
2022,Biological and Biomedical Sciences,Doctorate,23.672
2023,Biological and Biomedical Sciences,Doctorate,24.948
2024,Biological and Biomedical Sciences,Doctorate,24.113
1995,Biological and Biomedical Sciences,Masters,16.227
1996,Biological and Biomedical Sciences,Masters,15.74
1997,Biological and Biomedical Sciences,Masters,13.976
1998,Biological and Biomedical Sciences,Masters,14.17
1999,Biological and Biomedical Sciences,Masters,12.967
2000,Biological and Biomedical Sciences,Masters,11.84
2001,Biological and Biomedical Sciences,Masters,13.505
2002,Biological and Biomedical Sciences,Masters,12.714
2003,Biological and Biomedical Sciences,Masters,14.269
2004,Biological and Biomedical Sciences,Masters,14.61
2005,Biological and Biomedical Sciences,Masters,14.881
2006,Biological and Biomedical Sciences,Masters,14.848
2007,Biological and Biomedical Sciences,Masters,15.028
2008,Biological and Biomedical Sciences,Masters,15.602
2009,Biological and Biomedical Sciences,Masters,17.609
2010,Biological and Biomedical Sciences,Masters,17.236
2011,Biological and Biomedical Sciences,Masters,17.592
2012,Biological and Biomedical Sciences,Masters,17.218
2013,Biological and Biomedical Sciences,Masters,15.898
2014,Biological and Biomedical Sciences,Masters,16.226
2015,Biological and Biomedical Sciences,Masters,16.582
2016,Biological and Biomedical Sciences,Masters,15.824
2017,Biological and Biomedical Sciences,Masters,15.78
2018,Biological and Biomedical Sciences,Masters,15.427
2019,Biological and Biomedical Sciences,Masters,14.801
2020,Biological and Biomedical Sciences,Masters,15.106
2021,Biological and Biomedical Sciences,Masters,14.943
2022,Biological and Biomedical Sciences,Masters,12.947
2023,Biological and Biomedical Sciences,Masters,16.625
2024,Biological and Biomedical Sciences,Masters,19.949
1995,Computer and Information Sciences and Support Services,Bachelors,9.284
1996,Computer and Information Sciences and Support Services,Bachelors,8.926
1997,Computer and Information Sciences and Support Services,Bachelors,8.002
1998,Computer and Information Sciences and Support Services,Bachelors,7.871
1999,Computer and Information Sciences and Support Services,Bachelors,7.584
2000,Computer and Information Sciences and Support Services,Bachelors,7.915
2001,Computer and Information Sciences and Support Services,Bachelors,8.02
2002,Computer and Information Sciences and Support Services,Bachelors,8.122
2003,Computer and Information Sciences and Support Services,Bachelors,8.31
2004,Computer and Information Sciences and Support Services,Bachelors,8.426
2005,Computer and Information Sciences and Support Services,Bachelors,7.309
2006,Computer and Information Sciences and Support Services,Bachelors,6.432
2007,Computer and Information Sciences and Support Services,Bachelors,5.715
2008,Computer and Information Sciences and Support Services,Bachelors,4.637
2009,Computer and Information Sciences and Support Services,Bachelors,4.73
2010,Computer and Information Sciences and Support Services,Bachelors,4.654
2011,Computer and Information Sciences and Support Services,Bachelors,4.643
2012,Computer and Information Sciences and Support Services,Bachelors,4.934
2013,Computer and Information Sciences and Support Services,Bachelors,4.615
2014,Computer and Information Sciences and Support Services,Bachelors,5.026
2015,Computer and Information Sciences and Support Services,Bachelors,5.591
2016,Computer and Information Sciences and Support Services,Bachelors,6.258
2017,Computer and Information Sciences and Support Services,Bachelors,7.112
2018,Computer and Information Sciences and Support Services,Bachelors,8.431
2019,Computer and Information Sciences and Support Services,Bachelors,8.952
2020,Computer and Information Sciences and Support Services,Bachelors,9.832
2021,Computer and Information Sciences and Support Services,Bachelors,10.201
2022,Computer and Information Sciences and Support Services,Bachelors,9.797
2023,Computer and Information Sciences and Support Services,Bachelors,9.146
2024,Computer and Information Sciences and Support Services,Bachelors,8.168
1995,Computer and Information Sciences and Support Services,Doctorate,42.058
1996,Computer and Information Sciences and Support Services,Doctorate,45.559
1997,Computer and Information Sciences and Support Services,Doctorate,43.057
1998,Computer and Information Sciences and Support Services,Doctorate,42.923
1999,Computer and Information Sciences and Support Services,Doctorate,41.563
2000,Computer and Information Sciences and Support Services,Doctorate,48.263
2001,Computer and Information Sciences and Support Services,Doctorate,48.568
2002,Computer and Information Sciences and Support Services,Doctorate,45.333
2003,Computer and Information Sciences and Support Services,Doctorate,49.387
2004,Computer and Information Sciences and Support Services,Doctorate,50.0
2005,Computer and Information Sciences and Support Services,Doctorate,55.102
2006,Computer and Information Sciences and Support Services,Doctorate,61.044
2007,Computer and Information Sciences and Support Services,Doctorate,58.798
2008,Computer and Information Sciences and Support Services,Doctorate,60.317
2009,Computer and Information Sciences and Support Services,Doctorate,53.178
2010,Computer and Information Sciences and Support Services,Doctorate,48.941
2011,Computer and Information Sciences and Support Services,Doctorate,49.781
2012,Computer and Information Sciences and Support Services,Doctorate,51.174
2013,Computer and Information Sciences and Support Services,Doctorate,51.944
2014,Computer and Information Sciences and Support Services,Doctorate,53.444
2015,Computer and Information Sciences and Support Services,Doctorate,54.341
2016,Computer and Information Sciences and Support Services,Doctorate,56.319
2017,Computer and Information Sciences and Support Services,Doctorate,54.655
2018,Computer and Information Sciences and Support Services,Doctorate,57.283
2019,Computer and Information Sciences and Support Services,Doctorate,57.513
2020,Computer and Information Sciences and Support Services,Doctorate,57.851
2021,Computer and Information Sciences and Support Services,Doctorate,57.447
2022,Computer and Information Sciences and Support Services,Doctorate,58.464
2023,Computer and Information Sciences and Support Services,Doctorate,56.187
2024,Computer and Information Sciences and Support Services,Doctorate,56.614
1995,Computer and Information Sciences and Support Services,Masters,37.499
1996,Computer and Information Sciences and Support Services,Masters,37.866
1997,Computer and Information Sciences and Support Services,Masters,38.933
1998,Computer and Information Sciences and Support Services,Masters,42.052
1999,Computer and Information Sciences and Support Services,Masters,43.408
2000,Computer and Information Sciences and Support Services,Masters,45.802
2001,Computer and Information Sciences and Support Services,Masters,47.404
2002,Computer and Information Sciences and Support Services,Masters,47.074
2003,Computer and Information Sciences and Support Services,Masters,46.688
2004,Computer and Information Sciences and Support Services,Masters,43.691
2005,Computer and Information Sciences and Support Services,Masters,40.676
2006,Computer and Information Sciences and Support Services,Masters,38.603
2007,Computer and Information Sciences and Support Services,Masters,38.538
2008,Computer and Information Sciences and Support Services,Masters,42.937
2009,Computer and Information Sciences and Support Services,Masters,46.306
2010,Computer and Information Sciences and Support Services,Masters,44.026
2011,Computer and Information Sciences and Support Services,Masters,44.517
2012,Computer and Information Sciences and Support Services,Masters,44.329
2013,Computer and Information Sciences and Support Services,Masters,43.931
2014,Computer and Information Sciences and Support Services,Masters,45.451
2015,Computer and Information Sciences and Support Services,Masters,54.685
2016,Computer and Information Sciences and Support Services,Masters,62.684
2017,Computer and Information Sciences and Support Services,Masters,64.248
2018,Computer and Information Sciences and Support Services,Masters,61.932
2019,Computer and Information Sciences and Support Services,Masters,56.64
2020,Computer and Information Sciences and Support Services,Masters,56.498
2021,Computer and Information Sciences and Support Services,Masters,53.008
2022,Computer and Information Sciences and Support Services,Masters,44.307
2023,Computer and Information Sciences and Support Services,Masters,59.596
2024,Computer and Information Sciences and Support Services,Masters,65.105
1995,Engineering,Bachelors,7.583
1996,Engineering,Bachelors,7.548
1997,Engineering,Bachelors,7.699
1998,Engineering,Bachelors,7.633
1999,Engineering,Bachelors,7.639
2000,Engineering,Bachelors,7.633
2001,Engineering,Bachelors,7.466
2002,Engineering,Bachelors,7.036
2003,Engineering,Bachelors,6.757
2004,Engineering,Bachelors,7.081
2005,Engineering,Bachelors,7.233
2006,Engineering,Bachelors,6.96
2007,Engineering,Bachelors,6.476
2008,Engineering,Bachelors,6.0
2009,Engineering,Bachelors,5.844
2010,Engineering,Bachelors,6.138
2011,Engineering,Bachelors,6.782
2012,Engineering,Bachelors,7.696
2013,Engineering,Bachelors,7.786
2014,Engineering,Bachelors,8.119
2015,Engineering,Bachelors,8.676
2016,Engineering,Bachelors,9.353
2017,Engineering,Bachelors,10.103
2018,Engineering,Bachelors,10.796
2019,Engineering,Bachelors,10.718
2020,Engineering,Bachelors,10.761
2021,Engineering,Bachelors,9.93
2022,Engineering,Bachelors,8.747
2023,Engineering,Bachelors,7.913
2024,Engineering,Bachelors,7.094
1995,Engineering,Doctorate,48.98
1996,Engineering,Doctorate,48.932
1997,Engineering,Doctorate,48.468
1998,Engineering,Doctorate,48.654
1999,Engineering,Doctorate,45.988
2000,Engineering,Doctorate,50.65
2001,Engineering,Doctorate,53.921
2002,Engineering,Doctorate,56.477
2003,Engineering,Doctorate,57.537
2004,Engineering,Doctorate,60.512
2005,Engineering,Doctorate,62.685
2006,Engineering,Doctorate,63.261
2007,Engineering,Doctorate,64.124
2008,Engineering,Doctorate,60.63
2009,Engineering,Doctorate,57.331
2010,Engineering,Doctorate,55.626
2011,Engineering,Doctorate,56.231
2012,Engineering,Doctorate,55.767
2013,Engineering,Doctorate,56.65
2014,Engineering,Doctorate,56.067
2015,Engineering,Doctorate,55.655
2016,Engineering,Doctorate,55.631
2017,Engineering,Doctorate,56.781
2018,Engineering,Doctorate,57.782
2019,Engineering,Doctorate,58.558
2020,Engineering,Doctorate,60.236
2021,Engineering,Doctorate,59.85
2022,Engineering,Doctorate,59.187
2023,Engineering,Doctorate,57.271
2024,Engineering,Doctorate,55.574
1995,Engineering,Masters,33.903
1996,Engineering,Masters,32.404
1997,Engineering,Masters,33.375
1998,Engineering,Masters,34.88
1999,Engineering,Masters,35.899
2000,Engineering,Masters,38.316
2001,Engineering,Masters,41.473
2002,Engineering,Masters,41.078
2003,Engineering,Masters,46.278
2004,Engineering,Masters,47.136
2005,Engineering,Masters,44.565
2006,Engineering,Masters,41.649
2007,Engineering,Masters,38.488
2008,Engineering,Masters,40.807
2009,Engineering,Masters,43.356
2010,Engineering,Masters,43.368
2011,Engineering,Masters,43.226
2012,Engineering,Masters,41.43
2013,Engineering,Masters,42.596
2014,Engineering,Masters,44.608
2015,Engineering,Masters,50.958
2016,Engineering,Masters,56.288
2017,Engineering,Masters,56.553
2018,Engineering,Masters,54.7
2019,Engineering,Masters,51.602
2020,Engineering,Masters,49.512
2021,Engineering,Masters,47.847
2022,Engineering,Masters,37.181
2023,Engineering,Masters,47.736
2024,Engineering,Masters,50.742
1995,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.302
1996,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.689
1997,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.883
1998,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.975
1999,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.639
2000,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.96
2001,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.484
2002,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.11
2003,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.039
2004,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.481
2005,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.323
2006,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.62
2007,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.494
2008,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.44
2009,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.841
2010,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.779
2011,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.809
2012,Engineering/Engineering-Related Technologies/Technicians,Bachelors,2.917
2013,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.569
2014,Engineering/Engineering-Related Technologies/Technicians,Bachelors,4.026
2015,Engineering/Engineering-Related Technologies/Technicians,Bachelors,5.316
2016,Engineering/Engineering-Related Technologies/Technicians,Bachelors,6.023
2017,Engineering/Engineering-Related Technologies/Technicians,Bachelors,7.472
2018,Engineering/Engineering-Related Technologies/Technicians,Bachelors,7.938
2019,Engineering/Engineering-Related Technologies/Technicians,Bachelors,7.581
2020,Engineering/Engineering-Related Technologies/Technicians,Bachelors,7.197
2021,Engineering/Engineering-Related Technologies/Technicians,Bachelors,6.092
2022,Engineering/Engineering-Related Technologies/Technicians,Bachelors,5.262
2023,Engineering/Engineering-Related Technologies/Technicians,Bachelors,4.55
2024,Engineering/Engineering-Related Technologies/Technicians,Bachelors,3.73
1995,Engineering/Engineering-Related Technologies/Technicians,Doctorate,36.364
1996,Engineering/Engineering-Related Technologies/Technicians,Doctorate,63.636
1997,Engineering/Engineering-Related Technologies/Technicians,Doctorate,44.444
1998,Engineering/Engineering-Related Technologies/Technicians,Doctorate,64.286
1999,Engineering/Engineering-Related Technologies/Technicians,Doctorate,80.0
2000,Engineering/Engineering-Related Technologies/Technicians,Doctorate,66.667
2001,Engineering/Engineering-Related Technologies/Technicians,Doctorate,57.895
2002,Engineering/Engineering-Related Technologies/Technicians,Doctorate,60.0
2003,Engineering/Engineering-Related Technologies/Technicians,Doctorate,54.386
2004,Engineering/Engineering-Related Technologies/Technicians,Doctorate,46.552
2005,Engineering/Engineering-Related Technologies/Technicians,Doctorate,49.091
2006,Engineering/Engineering-Related Technologies/Technicians,Doctorate,45.333
2007,Engineering/Engineering-Related Technologies/Technicians,Doctorate,47.541
2008,Engineering/Engineering-Related Technologies/Technicians,Doctorate,47.273
2009,Engineering/Engineering-Related Technologies/Technicians,Doctorate,45.763
2010,Engineering/Engineering-Related Technologies/Technicians,Doctorate,37.313
2011,Engineering/Engineering-Related Technologies/Technicians,Doctorate,33.929
2012,Engineering/Engineering-Related Technologies/Technicians,Doctorate,29.851
2013,Engineering/Engineering-Related Technologies/Technicians,Doctorate,48.649
2014,Engineering/Engineering-Related Technologies/Technicians,Doctorate,50.0
2015,Engineering/Engineering-Related Technologies/Technicians,Doctorate,43.089
2016,Engineering/Engineering-Related Technologies/Technicians,Doctorate,41.353
